[2026-06-05 20:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2004 | Price: 2,900 AZN | Discount: 37.0% | City: Bakı
[2026-06-06 12:15:49] | User_ID: 846182184 | Car: Changan Uni-Z 2025 | Price: 15,000 AZN | Discount: 53.8% | City: Bakı
[2026-06-06 12:15:50] | User_ID: 846182184 | Car: Hyundai Grandeur 2023 | Price: 63,500 AZN | Discount: 7.3% | City: Bakı
[2026-06-06 12:45:52] | User_ID: 8196099591 | Car: LADA (VAZ) 2107 2009 | Price: 5,600 AZN | Discount: 13.8% | City: Bakı
[2026-06-06 12:45:52] | User_ID: 7026669010 | Car: LADA (VAZ) 2107 2009 | Price: 5,600 AZN | Discount: 13.8% | City: Bakı
[2026-06-06 12:45:52] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2009 | Price: 5,600 AZN | Discount: 13.8% | City: Bakı
[2026-06-06 12:45:54] | User_ID: 846182184 | Car: Ford Fusion (North America) 2017 | Price: 16,500 AZN | Discount: 8.3% | City: Bakı
[2026-06-06 13:15:51] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2003 | Price: 3,600 AZN | Discount: 20.0% | City: Cəlilabad
[2026-06-06 13:15:52] | User_ID: 846182184 | Car: Mercedes C 200 1996 | Price: 8,500 AZN | Discount: 4.5% | City: Bərdə
[2026-06-06 13:45:49] | User_ID: 846182184 | Car: Mercedes 190 1990 | Price: 4,200 AZN | Discount: 6.7% | City: Biləsuvar
[2026-06-06 13:45:50] | User_ID: 8196099591 | Car: LADA (VAZ) 2115 2012 | Price: 4,800 AZN | Discount: 42.2% | City: Bakı
[2026-06-06 13:45:50] | User_ID: 7026669010 | Car: LADA (VAZ) 2115 2012 | Price: 4,800 AZN | Discount: 42.2% | City: Bakı
[2026-06-06 13:45:50] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2012 | Price: 4,800 AZN | Discount: 42.2% | City: Bakı
[2026-06-06 13:45:51] | User_ID: 846182184 | Car: Toyota Prius 2007 | Price: 10,400 AZN | Discount: 11.1% | City: Sumqayıt
[2026-06-06 13:45:52] | User_ID: 846182184 | Car: Mercedes C 200 1999 | Price: 10,500 AZN | Discount: 14.6% | City: Şirvan
[2026-06-06 14:00:50] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2009 | Price: 6,300 AZN | Discount: 10.0% | City: Masallı
[2026-06-06 14:00:52] | User_ID: 846182184 | Car: Hyundai Sonata 2021 | Price: 33,900 AZN | Discount: 4.5% | City: Bakı
[2026-06-06 15:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2001 | Price: 3,800 AZN | Discount: 13.6% | City: Bakı
[2026-06-06 15:00:50] | User_ID: 846182184 | Car: Mercedes C 240 2000 | Price: 9,000 AZN | Discount: 12.6% | City: Gəncə
[2026-06-06 15:00:50] | User_ID: 846182184 | Car: Hyundai Elantra 2014 | Price: 16,800 AZN | Discount: 11.1% | City: Bakı
[2026-06-06 15:00:50] | User_ID: 846182184 | Car: Hyundai Sonata 2020 | Price: 30,800 AZN | Discount: 10.7% | City: Bakı
[2026-06-06 15:15:50] | User_ID: 846182184 | Car: Nissan X-Trail 2002 | Price: 8,300 AZN | Discount: 20.2% | City: Quba
[2026-06-06 15:15:51] | User_ID: 846182184 | Car: Ford Transit 1998 | Price: 9,800 AZN | Discount: 18.3% | City: Bakı
[2026-06-06 15:15:51] | User_ID: 846182184 | Car: Mercedes E 220 2008 | Price: 13,700 AZN | Discount: 23.9% | City: Bakı
[2026-06-06 15:15:52] | User_ID: 846182184 | Car: Chevrolet Malibu 2020 | Price: 18,500 AZN | Discount: 5.1% | City: Bakı
[2026-06-06 15:15:52] | User_ID: 846182184 | Car: Hyundai Sonata 2014 | Price: 19,900 AZN | Discount: 15.3% | City: Gəncə
[2026-06-06 15:15:52] | User_ID: 846182184 | Car: Kia Sorento 2017 | Price: 33,400 AZN | Discount: 11.6% | City: Göyçay
[2026-06-06 15:30:49] | User_ID: 846182184 | Car: Ford Transit 1998 | Price: 11,500 AZN | Discount: 4.2% | City: Ağstafa
[2026-06-06 16:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2106 2005 | Price: 4,250 AZN | Discount: 19.8% | City: Bakı
[2026-06-06 16:00:49] | User_ID: 846182184 | Car: Hyundai Elantra 2018 | Price: 21,000 AZN | Discount: 6.7% | City: Bakı
[2026-06-06 16:00:50] | User_ID: 846182184 | Car: Hyundai Santa Fe 2016 | Price: 29,800 AZN | Discount: 9.7% | City: Bakı
[2026-06-06 16:15:49] | User_ID: 846182184 | Car: Opel Astra 1999 | Price: 5,500 AZN | Discount: 26.7% | City: Xırdalan
[2026-06-06 16:15:49] | User_ID: 8196099591 | Car: Khazar SD 2019 | Price: 7,900 AZN | Discount: 8.1% | City: Bakı
[2026-06-06 16:15:50] | User_ID: 7026669010 | Car: Khazar SD 2019 | Price: 7,900 AZN | Discount: 8.1% | City: Bakı
[2026-06-06 16:15:50] | User_ID: 846182184 | Car: Khazar SD 2019 | Price: 7,900 AZN | Discount: 8.1% | City: Bakı
[2026-06-06 16:15:50] | User_ID: 846182184 | Car: Ford Fusion (North America) 2019 | Price: 18,400 AZN | Discount: 7.5% | City: Bakı
[2026-06-06 16:15:51] | User_ID: 846182184 | Car: LADA (VAZ) Niva 2024 | Price: 19,200 AZN | Discount: 8.6% | City: Gəncə
[2026-06-06 16:30:48] | User_ID: 846182184 | Car: Mercedes E 220 2002 | Price: 9,999 AZN | Discount: 26.5% | City: Bakı
[2026-06-06 16:30:49] | User_ID: 846182184 | Car: Mercedes E 240 1999 | Price: 10,800 AZN | Discount: 13.6% | City: Bakı
[2026-06-06 16:30:49] | User_ID: 846182184 | Car: LADA (VAZ) Niva 2024 | Price: 19,800 AZN | Discount: 5.7% | City: Quba
[2026-06-06 16:45:49] | User_ID: 846182184 | Car: Opel Vectra 1996 | Price: 2,300 AZN | Discount: 42.5% | City: Bakı
[2026-06-06 16:45:50] | User_ID: 846182184 | Car: LADA (VAZ) 2106 2005 | Price: 4,400 AZN | Discount: 17.0% | City: Biləsuvar
[2026-06-06 17:15:49] | User_ID: 846182184 | Car: Mercedes C 240 1998 | Price: 9,800 AZN | Discount: 10.1% | City: Bakı
[2026-06-06 17:15:50] | User_ID: 846182184 | Car: Ford Transit 1998 | Price: 11,500 AZN | Discount: 4.2% | City: Bakı
[2026-06-06 17:15:50] | User_ID: 846182184 | Car: Hyundai i30 2009 | Price: 12,400 AZN | Discount: 13.9% | City: Bakı
[2026-06-06 17:15:51] | User_ID: 846182184 | Car: Nissan Note 2015 | Price: 13,200 AZN | Discount: 10.8% | City: Bakı
[2026-06-06 17:15:51] | User_ID: 846182184 | Car: Toyota Prius 2009 | Price: 13,400 AZN | Discount: 9.5% | City: Bakı
[2026-06-06 17:15:52] | User_ID: 846182184 | Car: Hyundai Avante 2015 | Price: 16,400 AZN | Discount: 20.0% | City: Bakı
[2026-06-06 17:15:53] | User_ID: 846182184 | Car: BYD Seal 05 2025 | Price: 21,500 AZN | Discount: 4.4% | City: Bakı
[2026-06-06 17:45:49] | User_ID: 846182184 | Car: Mercedes C 180 1995 | Price: 4,600 AZN | Discount: 36.1% | City: Saatlı
[2026-06-06 17:45:50] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2009 | Price: 6,200 AZN | Discount: 8.8% | City: Bakı
[2026-06-06 17:45:50] | User_ID: 846182184 | Car: Kia Rio 2005 | Price: 8,500 AZN | Discount: 5.6% | City: Bərdə
[2026-06-06 17:45:51] | User_ID: 846182184 | Car: Hyundai Elantra 2015 | Price: 17,700 AZN | Discount: 6.8% | City: Bakı
[2026-06-06 18:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2004 | Price: 4,200 AZN | Discount: 8.7% | City: Kürdəmir
[2026-06-06 18:00:49] | User_ID: 846182184 | Car: Nissan Tiida 2008 | Price: 9,800 AZN | Discount: 19.7% | City: Sumqayıt
[2026-06-06 18:00:50] | User_ID: 846182184 | Car: Hyundai Elantra 2013 | Price: 15,700 AZN | Discount: 11.3% | City: Bakı
[2026-06-06 18:00:50] | User_ID: 846182184 | Car: BMW 528 2013 | Price: 22,500 AZN | Discount: 5.5% | City: Xaçmaz
[2026-06-06 18:15:49] | User_ID: 846182184 | Car: Hyundai Elantra 2020 | Price: 22,900 AZN | Discount: 4.2% | City: Bakı
[2026-06-06 18:30:49] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2010 | Price: 6,500 AZN | Discount: 15.6% | City: Şamaxı
[2026-06-06 18:30:49] | User_ID: 846182184 | Car: Mercedes Sprinter 315 2008 | Price: 26,500 AZN | Discount: 5.4% | City: Bakı
[2026-06-06 18:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2106 2003 | Price: 4,300 AZN | Discount: 10.4% | City: Quba
[2026-06-06 18:45:49] | User_ID: 846182184 | Car: Opel Astra 1998 | Price: 7,000 AZN | Discount: 5.4% | City: Sumqayıt
[2026-06-06 18:45:50] | User_ID: 846182184 | Car: Mercedes E 240 1999 | Price: 9,000 AZN | Discount: 28.0% | City: Hacıqabul
[2026-06-06 18:45:50] | User_ID: 846182184 | Car: Ford Transit 1997 | Price: 10,500 AZN | Discount: 8.7% | City: Qax
[2026-06-06 19:00:49] | User_ID: 846182184 | Car: Chevrolet Trax 2018 | Price: 17,300 AZN | Discount: 4.9% | City: Bakı
[2026-06-06 19:00:49] | User_ID: 846182184 | Car: Ford Fusion (North America) 2019 | Price: 18,800 AZN | Discount: 5.5% | City: Bakı
[2026-06-06 19:00:51] | User_ID: 846182184 | Car: Toyota Camry 2018 | Price: 31,500 AZN | Discount: 17.1% | City: Bakı
[2026-06-06 19:15:49] | User_ID: 846182184 | Car: Ford Fusion (North America) 2014 | Price: 12,200 AZN | Discount: 20.3% | City: Bakı
[2026-06-06 19:30:48] | User_ID: 846182184 | Car: Opel Astra 2008 | Price: 9,000 AZN | Discount: 10.0% | City: Şirvan
[2026-06-06 19:30:49] | User_ID: 846182184 | Car: Ford Transit 1999 | Price: 12,000 AZN | Discount: 22.6% | City: Bərdə
[2026-06-06 19:30:49] | User_ID: 846182184 | Car: Hyundai Accent 2017 | Price: 16,000 AZN | Discount: 4.8% | City: Bakı
[2026-06-06 19:30:50] | User_ID: 846182184 | Car: BMW 528 2013 | Price: 22,500 AZN | Discount: 5.5% | City: Bakı
[2026-06-06 19:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2106 2000 | Price: 3,600 AZN | Discount: 25.0% | City: Bakı
[2026-06-06 19:45:50] | User_ID: 846182184 | Car: Volkswagen Passat 2003 | Price: 4,500 AZN | Discount: 23.7% | City: Sumqayıt
[2026-06-06 19:45:50] | User_ID: 846182184 | Car: Mercedes C 230 1999 | Price: 10,700 AZN | Discount: 7.0% | City: Ağstafa
[2026-06-06 20:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2010 | Price: 6,300 AZN | Discount: 18.2% | City: Sabirabad
[2026-06-06 20:00:50] | User_ID: 846182184 | Car: Ford Transit 1998 | Price: 11,000 AZN | Discount: 8.3% | City: Şəki
[2026-06-06 20:00:50] | User_ID: 846182184 | Car: Mercedes E 240 2000 | Price: 11,800 AZN | Discount: 9.2% | City: Sumqayıt
[2026-06-06 20:00:51] | User_ID: 846182184 | Car: BYD Destroyer 05 2024 | Price: 19,500 AZN | Discount: 4.9% | City: Lənkəran
[2026-06-06 20:30:55] | User_ID: 846182184 | Car: Mercedes C 180 1995 | Price: 5,800 AZN | Discount: 19.4% | City: Masallı
[2026-06-06 20:30:57] | User_ID: 846182184 | Car: Chevrolet Cruze 2016 | Price: 14,700 AZN | Discount: 5.2% | City: Bakı
[2026-06-06 20:30:58] | User_ID: 846182184 | Car: Ford Fusion (North America) 2018 | Price: 18,500 AZN | Discount: 6.1% | City: Naxçıvan
[2026-06-06 20:31:01] | User_ID: 846182184 | Car: Changan Uni-Z 2025 | Price: 30,300 AZN | Discount: 6.8% | City: Bakı
[2026-06-07 01:00:48] | User_ID: 846182184 | Car: LADA (VAZ) 2106 1993 | Price: 2,700 AZN | Discount: 16.9% | City: Bakı
[2026-06-07 01:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 21099 2000 | Price: 4,500 AZN | Discount: 10.0% | City: Bərdə
[2026-06-07 01:00:49] | User_ID: 846182184 | Car: LADA (VAZ) Niva 2011 | Price: 5,900 AZN | Discount: 21.3% | City: Gəncə
[2026-06-07 01:00:50] | User_ID: 846182184 | Car: Mitsubishi Pajero io 2000 | Price: 6,600 AZN | Discount: 16.5% | City: Bakı
[2026-06-07 01:00:50] | User_ID: 846182184 | Car: Kia Rio 2006 | Price: 9,000 AZN | Discount: 7.2% | City: Bakı
[2026-06-07 01:00:51] | User_ID: 846182184 | Car: Ravon Nexia R3 2019 | Price: 9,000 AZN | Discount: 23.7% | City: Bakı
[2026-06-07 01:00:52] | User_ID: 846182184 | Car: Mercedes E 200 2000 | Price: 11,500 AZN | Discount: 17.3% | City: Ağcabədi
[2026-06-07 01:00:52] | User_ID: 846182184 | Car: Kia Rio 2014 | Price: 14,900 AZN | Discount: 11.3% | City: Bakı
[2026-06-07 01:00:53] | User_ID: 846182184 | Car: BMW 528 2016 | Price: 23,000 AZN | Discount: 19.9% | City: Bakı
[2026-06-07 01:00:53] | User_ID: 846182184 | Car: BMW 528 2016 | Price: 27,500 AZN | Discount: 4.2% | City: Bakı
[2026-06-07 01:00:53] | User_ID: 846182184 | Car: BMW 528 2016 | Price: 27,500 AZN | Discount: 4.2% | City: Bakı
[2026-06-07 01:00:54] | User_ID: 846182184 | Car: Tesla Model 3 2023 | Price: 32,500 AZN | Discount: 0.0% | City: Bakı
